run_id,M,N,p,noise_type,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,num_noise_realizations,error_message
batch_M1_N2_p0.1000_depolarizing,1,2,0.1,depolarizing,1,3,0.8644536653,0.9708251953,8192,ibm_torino,6,3,8,
batch_M1_N2_p0.1000_dephasing,1,2,0.1,dephasing,1,3,0.864806867,0.9670410156,8192,ibm_torino,6,3,8,
batch_M1_N2_p0.2000_depolarizing,1,2,0.2,depolarizing,1,3,0.7456962025,0.9643554688,8192,ibm_torino,6,3,8,
batch_M1_N2_p0.2000_dephasing,1,2,0.2,dephasing,1,3,0.7461139896,0.9659423828,8192,ibm_torino,6,3,8,
batch_M1_N2_p0.3000_depolarizing,1,2,0.3,depolarizing,1,3,0.7483569262,0.9658203125,8192,ibm_torino,6,3,8,
batch_M1_N2_p0.3000_dephasing,1,2,0.3,dephasing,1,3,0.6298125633,0.9638671875,8192,ibm_torino,6,3,8,
batch_M1_N2_p0.4000_depolarizing,1,2,0.4,depolarizing,1,3,0.8658782084,0.9702148438,8192,ibm_torino,6,3,8,
batch_M1_N2_p0.4000_dephasing,1,2,0.4,dephasing,1,3,0.6297092288,0.9655761719,8192,ibm_torino,6,3,8,
batch_M1_N2_p0.5000_depolarizing,1,2,0.5,depolarizing,1,3,0.7472819216,0.9655761719,8192,ibm_torino,7,3,8,
batch_M1_N2_p0.5000_dephasing,1,2,0.5,dephasing,1,3,0.5094459237,0.9627685547,8192,ibm_torino,7,3,8,
batch_M1_N2_p0.6000_depolarizing,1,2,0.6,depolarizing,1,3,0.6217747011,0.9698486328,8192,ibm_torino,7,3,8,
batch_M1_N2_p0.6000_dephasing,1,2,0.6,dephasing,1,3,0.3832682374,0.9688720703,8192,ibm_torino,7,3,8,
batch_M1_N2_p0.7000_depolarizing,1,2,0.7,depolarizing,1,3,0.3850618219,0.9675292969,8192,ibm_torino,7,3,8,
batch_M1_N2_p0.7000_dephasing,1,2,0.7,dephasing,1,3,0.1407724242,0.9703369141,8192,ibm_torino,7,3,8,
batch_M1_N2_p0.8000_depolarizing,1,2,0.8,depolarizing,1,3,0.3841225977,0.9718017578,8192,ibm_torino,7,3,8,
batch_M1_N2_p0.8000_dephasing,1,2,0.8,dephasing,1,3,0.1436156764,0.9655761719,8192,ibm_torino,7,3,8,
batch_M1_N2_p0.9000_depolarizing,1,2,0.9,depolarizing,1,3,0.5072078907,0.9653320313,8192,ibm_torino,7,3,8,
batch_M1_N2_p0.9000_dephasing,1,2,0.9,dephasing,1,3,0.1440474688,0.9669189453,8192,ibm_torino,7,3,8,
batch_M1_N4_p0.1000_depolarizing,1,4,0.1,depolarizing,2,7,0.8538279633,0.8259277344,8192,ibm_torino,9,7,8,
batch_M1_N4_p0.1000_dephasing,1,4,0.1,dephasing,2,7,0.8569731175,0.8218994141,8192,ibm_torino,9,7,8,
batch_M1_N4_p0.2000_depolarizing,1,4,0.2,depolarizing,2,7,0.745157385,0.806640625,8192,ibm_torino,9,7,8,
batch_M1_N4_p0.2000_dephasing,1,4,0.2,dephasing,2,7,0.7498128462,0.8153076172,8192,ibm_torino,9,7,8,
batch_M1_N4_p0.3000_depolarizing,1,4,0.3,depolarizing,2,7,0.7501484561,0.822265625,8192,ibm_torino,9,7,8,
batch_M1_N4_p0.3000_dephasing,1,4,0.3,dephasing,2,7,0.6289251208,0.80859375,8192,ibm_torino,9,7,8,
batch_M1_N4_p0.4000_depolarizing,1,4,0.4,depolarizing,2,7,0.8520100133,0.8289794922,8192,ibm_torino,9,7,8,
batch_M1_N4_p0.4000_dephasing,1,4,0.4,dephasing,2,7,0.6247410476,0.8249511719,8192,ibm_torino,9,7,8,
batch_M1_N4_p0.5000_depolarizing,1,4,0.5,depolarizing,2,7,0.7482641454,0.8262939453,8192,ibm_torino,10,7,8,
batch_M1_N4_p0.5000_dephasing,1,4,0.5,dephasing,2,7,0.505790388,0.8432617188,8192,ibm_torino,10,7,8,
batch_M1_N4_p0.6000_depolarizing,1,4,0.6,depolarizing,2,7,0.613545225,0.8218994141,8192,ibm_torino,10,7,8,
batch_M1_N4_p0.6000_dephasing,1,4,0.6,dephasing,2,7,0.3913043478,0.8310546875,8192,ibm_torino,10,7,8,
batch_M1_N4_p0.7000_depolarizing,1,4,0.7,depolarizing,2,7,0.395499849,0.8083496094,8192,ibm_torino,10,7,8,
batch_M1_N4_p0.7000_dephasing,1,4,0.7,dephasing,2,7,0.1592565056,0.8209228516,8192,ibm_torino,10,7,8,
batch_M1_N4_p0.8000_depolarizing,1,4,0.8,depolarizing,2,7,0.3812187224,0.8293457031,8192,ibm_torino,10,7,8,
batch_M1_N4_p0.8000_dephasing,1,4,0.8,dephasing,2,7,0.162170309,0.8099365234,8192,ibm_torino,10,7,8,
batch_M1_N4_p0.9000_depolarizing,1,4,0.9,depolarizing,2,7,0.5144100871,0.8132324219,8192,ibm_torino,10,7,8,
batch_M1_N4_p0.9000_dephasing,1,4,0.9,dephasing,2,7,0.1533254856,0.8295898438,8192,ibm_torino,10,7,8,
batch_M1_N8_p0.1000_depolarizing,1,8,0.1,depolarizing,3,15,0.8434246047,0.6330566406,8192,ibm_torino,12,15,8,
batch_M1_N8_p0.1000_dephasing,1,8,0.1,dephasing,3,15,0.854953271,0.6530761719,8192,ibm_torino,12,15,8,
batch_M1_N8_p0.2000_depolarizing,1,8,0.2,depolarizing,3,15,0.7319148936,0.6311035156,8192,ibm_torino,12,15,8,
batch_M1_N8_p0.2000_dephasing,1,8,0.2,dephasing,3,15,0.7328646749,0.6251220703,8192,ibm_torino,12,15,8,
batch_M1_N8_p0.3000_depolarizing,1,8,0.3,depolarizing,3,15,0.7429064417,0.63671875,8192,ibm_torino,12,15,8,
batch_M1_N8_p0.3000_dephasing,1,8,0.3,dephasing,3,15,0.6336166195,0.6463623047,8192,ibm_torino,12,15,8,
batch_M1_N8_p0.4000_depolarizing,1,8,0.4,depolarizing,3,15,0.8468927661,0.6226806641,8192,ibm_torino,12,15,8,
batch_M1_N8_p0.4000_dephasing,1,8,0.4,dephasing,3,15,0.6640170609,0.6296386719,8192,ibm_torino,12,15,8,
batch_M1_N8_p0.5000_depolarizing,1,8,0.5,depolarizing,3,15,0.7241047362,0.6340332031,8192,ibm_torino,13,15,8,
batch_M1_N8_p0.5000_dephasing,1,8,0.5,dephasing,3,15,0.5328657315,0.6091308594,8192,ibm_torino,13,15,8,
batch_M1_N8_p0.6000_depolarizing,1,8,0.6,depolarizing,3,15,0.6350990854,0.640625,8192,ibm_torino,13,15,8,
batch_M1_N8_p0.6000_dephasing,1,8,0.6,dephasing,3,15,0.4075286416,0.5966796875,8192,ibm_torino,13,15,8,
batch_M1_N8_p0.7000_depolarizing,1,8,0.7,depolarizing,3,15,0.4040362438,0.5927734375,8192,ibm_torino,13,15,8,
batch_M1_N8_p0.7000_dephasing,1,8,0.7,dephasing,3,15,0.1819487179,0.5950927734,8192,ibm_torino,13,15,8,
batch_M1_N8_p0.8000_depolarizing,1,8,0.8,depolarizing,3,15,0.3998418034,0.6173095703,8192,ibm_torino,13,15,8,
batch_M1_N8_p0.8000_dephasing,1,8,0.8,dephasing,3,15,0.1958784346,0.5864257813,8192,ibm_torino,13,15,8,
batch_M1_N8_p0.9000_depolarizing,1,8,0.9,depolarizing,3,15,0.517029703,0.6164550781,8192,ibm_torino,13,15,8,
batch_M1_N8_p0.9000_dephasing,1,8,0.9,dephasing,3,15,0.177406199,0.5986328125,8192,ibm_torino,13,15,8,
batch_M1_N16_p0.1000_depolarizing,1,16,0.1,depolarizing,4,31,0.8189655172,0.2407226563,8192,ibm_torino,15,31,8,
batch_M1_N16_p0.1000_dephasing,1,16,0.1,dephasing,4,31,0.8945086705,0.2534179688,8192,ibm_torino,15,31,8,
batch_M1_N16_p0.2000_depolarizing,1,16,0.2,depolarizing,4,31,0.8595166163,0.2424316406,8192,ibm_torino,15,31,8,
batch_M1_N16_p0.2000_dephasing,1,16,0.2,dephasing,4,31,0.7060778727,0.2570800781,8192,ibm_torino,15,31,8,
batch_M1_N16_p0.3000_depolarizing,1,16,0.3,depolarizing,4,31,0.7278043594,0.2296142578,8192,ibm_torino,15,31,8,
batch_M1_N16_p0.3000_dephasing,1,16,0.3,dephasing,4,31,0.6949475691,0.2561035156,8192,ibm_torino,15,31,8,
batch_M1_N16_p0.4000_depolarizing,1,16,0.4,depolarizing,4,31,0.8850841555,0.2103271484,8192,ibm_torino,15,31,8,
batch_M1_N16_p0.4000_dephasing,1,16,0.4,dephasing,4,31,0.6171194259,0.2381591797,8192,ibm_torino,15,31,8,
batch_M1_N16_p0.5000_depolarizing,1,16,0.5,depolarizing,4,31,0.7189378758,0.2436523438,8192,ibm_torino,16,31,8,
batch_M1_N16_p0.5000_dephasing,1,16,0.5,dephasing,4,31,0.5459459459,0.2484130859,8192,ibm_torino,16,31,8,
batch_M1_N16_p0.6000_depolarizing,1,16,0.6,depolarizing,4,31,0.6320272572,0.2866210938,8192,ibm_torino,16,31,8,
batch_M1_N16_p0.6000_dephasing,1,16,0.6,dephasing,4,31,0.3990384615,0.25390625,8192,ibm_torino,16,31,8,
batch_M1_N16_p0.7000_depolarizing,1,16,0.7,depolarizing,4,31,0.3747484909,0.2426757813,8192,ibm_torino,16,31,8,
batch_M1_N16_p0.7000_dephasing,1,16,0.7,dephasing,4,31,0.1230382925,0.1944580078,8192,ibm_torino,16,31,8,
batch_M1_N16_p0.8000_depolarizing,1,16,0.8,depolarizing,4,31,0.3827723902,0.2139892578,8192,ibm_torino,16,31,8,
batch_M1_N16_p0.8000_dephasing,1,16,0.8,dephasing,4,31,0.2775712515,0.1970214844,8192,ibm_torino,16,31,8,
batch_M1_N16_p0.9000_depolarizing,1,16,0.9,depolarizing,4,31,0.6269794721,0.2081298828,8192,ibm_torino,16,31,8,
batch_M1_N16_p0.9000_dephasing,1,16,0.9,dephasing,4,31,0.26265317,0.2291259766,8192,ibm_torino,16,31,8,
batch_M2_N2_p0.1000_depolarizing,2,2,0.1,depolarizing,1,5,0.8067700987,0.8654785156,8192,ibm_torino,7,5,8,
batch_M2_N2_p0.1000_dephasing,2,2,0.1,dephasing,1,5,0.8225628279,0.8840332031,8192,ibm_torino,7,5,8,
batch_M2_N2_p0.2000_depolarizing,2,2,0.2,depolarizing,1,5,0.4953932434,0.9141845703,8192,ibm_torino,7,5,8,
batch_M2_N2_p0.2000_dephasing,2,2,0.2,dephasing,1,5,0.4888354058,0.9129638672,8192,ibm_torino,7,5,8,
batch_M2_N2_p0.3000_depolarizing,2,2,0.3,depolarizing,1,5,0.4764602725,0.9049072266,8192,ibm_torino,7,5,8,
batch_M2_N2_p0.3000_dephasing,2,2,0.3,dephasing,1,5,0.3655379788,0.9337158203,8192,ibm_torino,7,5,8,
batch_M2_N2_p0.4000_depolarizing,2,2,0.4,depolarizing,1,5,0.4851847017,0.9351806641,8192,ibm_torino,7,5,8,
batch_M2_N2_p0.4000_dephasing,2,2,0.4,dephasing,1,5,0.3645738154,0.9351806641,8192,ibm_torino,7,5,8,
batch_M2_N2_p0.5000_depolarizing,2,2,0.5,depolarizing,1,5,0.3736752584,0.9329833984,8192,ibm_torino,8,5,8,
batch_M2_N2_p0.5000_dephasing,2,2,0.5,dephasing,1,5,0.2491837534,0.9346923828,8192,ibm_torino,8,5,8,
batch_M2_N2_p0.6000_depolarizing,2,2,0.6,depolarizing,1,5,0.1423697677,0.9302978516,8192,ibm_torino,8,5,8,
batch_M2_N2_p0.6000_dephasing,2,2,0.6,dephasing,1,5,0.01234081659,0.9298095703,8192,ibm_torino,8,5,8,
batch_M2_N2_p0.7000_depolarizing,2,2,0.7,depolarizing,1,5,0.1333420571,0.9328613281,8192,ibm_torino,8,5,8,
