run_id,timestamp,M,N,noise_type,p,apply_twirling,backend_name,total_shots,num_levels,final_success,total_attempts,final_fidelity,initial_fidelity,fidelity_improvement,experiment_duration_sec,total_pairs_tested,successful_pairs,error_msg,config
IBM_M1_depolarizing_p0.010_aer_simulator_20251118_180831,20251118_180831,1,4,depolarizing,0.01,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.34411120414733887,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M1_depolarizing_p0.100_aer_simulator_20251118_180832,20251118_180832,1,4,depolarizing,0.1,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.29688596725463867,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M1_depolarizing_p0.200_aer_simulator_20251118_180832,20251118_180832,1,4,depolarizing,0.2,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.2946920394897461,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M1_depolarizing_p0.300_aer_simulator_20251118_180832,20251118_180832,1,4,depolarizing,0.3,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.3087191581726074,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M1_depolarizing_p0.400_aer_simulator_20251118_180833,20251118_180833,1,4,depolarizing,0.4,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.29365992546081543,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M1_depolarizing_p0.500_aer_simulator_20251118_180833,20251118_180833,1,4,depolarizing,0.5,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.29755711555480957,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M2_depolarizing_p0.010_aer_simulator_20251118_180833,20251118_180833,2,4,depolarizing,0.01,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.29494190216064453,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M2_depolarizing_p0.100_aer_simulator_20251118_180834,20251118_180834,2,4,depolarizing,0.1,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.29456400871276855,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M2_depolarizing_p0.200_aer_simulator_20251118_180834,20251118_180834,2,4,depolarizing,0.2,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.29454684257507324,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M2_depolarizing_p0.300_aer_simulator_20251118_180834,20251118_180834,2,4,depolarizing,0.3,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.294605016708374,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M2_depolarizing_p0.400_aer_simulator_20251118_180834,20251118_180834,2,4,depolarizing,0.4,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.29697394371032715,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M2_depolarizing_p0.500_aer_simulator_20251118_180835,20251118_180835,2,4,depolarizing,0.5,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.2944302558898926,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
IBM_M1_dephase_z_p0.010_aer_simulator_20251118_180835,20251118_180835,1,4,dephase_z,0.01,True,aer_simulator,0,1,False,2,0.0,1.0,0.0,0.29461193084716797,2,0,All pairs failed at level 1,"{""shots_per_level"": 1024, ""max_attempts"": 5, ""target_success_prob"": 0.1, ""num_levels"": 2}"
