noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,2,8,0.01,0,1,3,4,3.0,7,0,0.0006360686960057427,0.0006360686960057427,0.0006360686960057427,2.6666666666666665,[3],True,Depolarizing_d2_delta0.010
depolarizing,2,8,0.1,0,1,3,4,3.0,7,0,0.007487790810549455,0.007487790810549455,0.007487790810549455,2.6666666666666665,[3],True,Depolarizing_d2_delta0.100
depolarizing,2,8,0.2,0,1,3,4,3.0,7,0,0.018161044852027297,0.018161044852027297,0.018161044852027297,2.6666666666666665,[3],True,Depolarizing_d2_delta0.200
depolarizing,2,8,0.3,0,1,3,4,3.0,7,0,0.03346617716880623,0.03346617716880623,0.03346617716880623,2.6666666666666665,[3],True,Depolarizing_d2_delta0.300
depolarizing,2,8,0.4,0,1,3,4,3.0,7,0,0.055522740696987594,0.055522740696987594,0.055522740696987594,2.6666666666666665,[3],True,Depolarizing_d2_delta0.400
depolarizing,2,8,0.5,0,1,3,4,3.0,7,0,0.0873170028292733,0.0873170028292733,0.0873170028292733,2.6666666666666665,[3],True,Depolarizing_d2_delta0.500
depolarizing,2,8,0.7,0,1,3,4,3.0,7,0,0.19595745479515309,0.19595745479515309,0.19595745479515309,2.6666666666666665,[3],True,Depolarizing_d2_delta0.700
depolarizing,2,8,0.8,0,1,3,4,3.0,7,0,0.27998595388191233,0.27998595388191233,0.27998595388191233,2.6666666666666665,[3],True,Depolarizing_d2_delta0.800
depolarizing,2,8,0.9,0,1,3,4,3.0,7,0,0.3837686931851726,0.3837686931851726,0.3837686931851726,2.6666666666666665,[3],True,Depolarizing_d2_delta0.900
depolarizing,2,16,0.01,0,1,4,5,4.0,15,0,0.0003184390599783593,0.0003184390599783593,0.0003184390599783593,4.0,[4],True,Depolarizing_d2_delta0.010
depolarizing,2,16,0.1,0,1,4,5,4.0,15,0,0.0038001707301427157,0.0038001707301427157,0.0038001707301427157,4.0,[4],True,Depolarizing_d2_delta0.100
depolarizing,2,16,0.2,0,1,4,5,4.0,15,0,0.009413284561262059,0.009413284561262059,0.009413284561262059,4.0,[4],True,Depolarizing_d2_delta0.200
depolarizing,2,16,0.3,0,1,4,5,4.0,15,0,0.0178711445677599,0.0178711445677599,0.0178711445677599,4.0,[4],True,Depolarizing_d2_delta0.300
