schedule,event_index,noise_rounds_completed,operation,purification_round_in_block,purification_rounds_completed,M,initial_state,noise_type,dephasing_probability_p,total_noise_rounds_T,clifford_twirling,purification_depth_budget,input_copies,pairwise_merges,fidelity,infidelity,purity,trace_distance
no_purification,0,0,initial,0,0,1,plus,dephase_z,0.6,5,False,0,1,0,0.9999999999999997,3.3306690738754696e-16,0.9999999999999996,0.0
no_purification,1,1,noise,0,0,1,plus,dephase_z,0.6,5,False,0,1,0,0.39999999999999986,0.6000000000000001,0.5199999999999998,0.5999999999999999
no_purification,2,2,noise,0,0,1,plus,dephase_z,0.6,5,False,0,1,0,0.5199999999999998,0.4800000000000002,0.5007999999999998,0.47999999999999987
no_purification,3,3,noise,0,0,1,plus,dephase_z,0.6,5,False,0,1,0,0.49599999999999983,0.5040000000000002,0.5000319999999998,0.5039999999999999
no_purification,4,4,noise,0,0,1,plus,dephase_z,0.6,5,False,0,1,0,0.5007999999999998,0.4992000000000002,0.5000012799999998,0.49919999999999987
no_purification,5,5,noise,0,0,1,plus,dephase_z,0.6,5,False,0,1,0,0.49983999999999984,0.5001600000000002,0.5000000511999998,0.5001599999999999
end_only_matched,0,0,initial,0,0,1,plus,dephase_z,0.6,5,False,5,32,31,0.9999999999999997,3.3306690738754696e-16,0.9999999999999996,0.0
end_only_matched,1,1,noise,0,0,1,plus,dephase_z,0.6,5,False,5,32,31,0.39999999999999986,0.6000000000000001,0.5199999999999998,0.5999999999999999
end_only_matched,2,2,noise,0,0,1,plus,dephase_z,0.6,5,False,5,32,31,0.5199999999999998,0.4800000000000002,0.5007999999999998,0.47999999999999987
end_only_matched,3,3,noise,0,0,1,plus,dephase_z,0.6,5,False,5,32,31,0.49599999999999983,0.5040000000000002,0.5000319999999998,0.5039999999999999
end_only_matched,4,4,noise,0,0,1,plus,dephase_z,0.6,5,False,5,32,31,0.5007999999999998,0.4992000000000002,0.5000012799999998,0.49919999999999987
end_only_matched,5,5,noise,0,0,1,plus,dephase_z,0.6,5,False,5,32,31,0.49983999999999984,0.5001600000000002,0.5000000511999998,0.5001599999999999
end_only_matched,6,5,purification,1,1,1,plus,dephase_z,0.6,5,False,5,32,31,0.4996800000327679,0.5003199999672321,0.5000002047999581,0.5003199999672319
end_only_matched,7,5,purification,2,2,1,plus,dephase_z,0.6,5,False,5,32,31,0.4993600003276797,0.5006399996723203,0.5000008191991612,0.5006399996723201
end_only_matched,8,5,purification,3,3,1,plus,dephase_z,0.6,5,False,5,32,31,0.4987200027525049,0.5012799972474951,0.5000032767859072,0.501279997247495
end_only_matched,9,5,purification,4,4,1,plus,dephase_z,0.6,5,False,5,32,31,0.4974400222820076,0.5025599777179923,0.5000131069718332,0.5025599777179922
end_only_matched,10,5,purification,5,5,1,plus,dephase_z,0.6,5,False,5,32,31,0.49488017877472057,0.5051198212252794,0.5000524251387577,0.5051198212252792
interleaved_matched,0,0,initial,0,0,1,plus,dephase_z,0.6,5,False,5,32,31,0.9999999999999997,3.3306690738754696e-16,0.9999999999999996,0.0
interleaved_matched,1,1,noise,0,0,1,plus,dephase_z,0.6,5,False,5,32,31,0.39999999999999986,0.6000000000000001,0.5199999999999998,0.5999999999999999
interleaved_matched,2,1,purification,1,1,1,plus,dephase_z,0.6,5,False,5,32,31,0.3076923076923077,0.6923076923076923,0.57396449704142,0.6923076923076921
interleaved_matched,3,2,noise,0,1,1,plus,dephase_z,0.6,5,False,5,32,31,0.5384615384615384,0.46153846153846156,0.5029585798816568,0.46153846153846145
interleaved_matched,4,2,purification,1,2,1,plus,dephase_z,0.6,5,False,5,32,31,0.576470588235294,0.42352941176470604,0.5116955017301038,0.4235294117647058
interleaved_matched,5,3,noise,0,2,1,plus,dephase_z,0.6,5,False,5,32,31,0.4847058823529411,0.5152941176470589,0.5004678200692042,0.5152941176470587
interleaved_matched,6,3,purification,1,3,1,plus,dephase_z,0.6,5,False,5,32,31,0.46944035753398894,0.5305596424660111,0.5018677834953008,0.530559642466011
interleaved_matched,7,4,noise,0,3,1,plus,dephase_z,0.6,5,False,5,32,31,0.5061119284932021,0.4938880715067979,0.5000747113398121,0.4938880715067977
interleaved_matched,8,4,purification,1,4,1,plus,dephase_z,0.6,5,False,5,32,31,0.512222030737821,0.487777969262179,0.5002987560707125,0.48777796926217876
interleaved_matched,9,5,noise,0,4,1,plus,dephase_z,0.6,5,False,5,32,31,0.4975555938524357,0.5024444061475644,0.5000119502428285,0.5024444061475641
interleaved_matched,10,5,purification,1,5,1,plus,dephase_z,0.6,5,False,5,32,31,0.495111304547067,0.504888695452933,0.5000477986864631,0.5048886954529328
