run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,subset_fraction,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9899999999999994,0.0100000000000001,0.0100000000000001,0.9801999999999992,0.9801999999999992,1.0,0,1,0,0.2,True,0.9799999999999996,0.9799999999999996
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9998979800040808,0.0100000000000001,0.0001020199959191,0.9801999999999992,0.9997959808243206,0.0102019995919132,1,1,1,0.2,True,0.9799999999999996,0.9997959600081616
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999895897964,0.0100000000000001,1.0410203366006954e-08,0.9801999999999992,0.9999999791795932,1.0410203366006829e-06,2,1,2,0.2,True,0.9799999999999996,0.999999979179593
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,0.9999999999999998,1.1102230246251431e-14,3,1,3,0.2,True,0.9799999999999996,0.9999999999999998
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,4,1,4,0.2,True,0.9799999999999996,1.0
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,5,1,5,0.2,True,0.9799999999999996,1.0
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,6,1,6,0.2,True,0.9799999999999996,1.0
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,7,1,7,0.2,True,0.9799999999999996,1.0
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,8,1,8,0.2,True,0.9799999999999996,1.0
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,9,1,9,0.2,True,0.9799999999999996,1.0
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,2,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,10,1,10,0.2,True,0.9799999999999996,1.0
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.8999999999999994,0.1,0.1,0.8199999999999992,0.8199999999999992,1.0,0,1,0,0.2,True,0.7999999999999996,0.7999999999999996
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9878048780487804,0.1,0.0121951219512193,0.8199999999999992,0.9759071980963714,0.1219512195121929,1,1,1,0.2,True,0.7999999999999996,0.9756097560975612
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.999847607436757,0.1,0.0001523925632427,0.8199999999999992,0.9996952613205008,0.0015239256324278,2,1,2,0.2,True,0.7999999999999996,0.9996952148735142
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999767694272,0.1,2.3230572410160025e-08,0.8199999999999992,0.999999953538856,2.323057241016e-07,3,1,3,0.2,True,0.7999999999999996,0.999999953538855
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999992,0.1,3.3306690738754696e-16,0.8199999999999992,0.9999999999999992,3.330669073875467e-15,4,1,4,0.2,True,0.7999999999999996,0.9999999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,5,1,5,0.2,True,0.7999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,6,1,6,0.2,True,0.7999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,7,1,7,0.2,True,0.7999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,8,1,8,0.2,True,0.7999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,9,1,9,0.2,True,0.7999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,10,1,10,0.2,True,0.7999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.7999999999999995,0.2,0.2,0.6799999999999994,0.6799999999999994,1.0,0,1,0,0.2,True,0.5999999999999996,0.5999999999999996
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9411764705882352,0.2,0.0588235294117646,0.6799999999999994,0.889273356401384,0.2941176470588229,1,1,1,0.2,True,0.5999999999999996,0.8823529411764706
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9961089494163424,0.2,0.0038910505836574,0.6799999999999994,0.992248179381974,0.0194552529182873,2,1,2,0.2,True,0.5999999999999996,0.9922178988326849
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9999847414437644,0.2,1.5258556235298038e-05,0.6799999999999994,0.9999694833531764,7.629278117649016e-05,3,1,3,0.2,True,0.5999999999999996,0.9999694828875292
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9999999997671692,0.2,2.328305326315672e-10,0.6799999999999994,0.9999999995343388,1.164152663157835e-09,4,1,4,0.2,True,0.5999999999999996,0.9999999995343388
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9999999999999998,0.2,1.1102230246251563e-16,0.6799999999999994,1.0,5.551115123125781e-16,5,1,5,0.2,True,0.5999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9999999999999998,0.2,1.1102230246251563e-16,0.6799999999999994,1.0,5.551115123125781e-16,6,1,6,0.2,True,0.5999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9999999999999998,0.2,1.1102230246251563e-16,0.6799999999999994,1.0,5.551115123125781e-16,7,1,7,0.2,True,0.5999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9999999999999998,0.2,1.1102230246251563e-16,0.6799999999999994,1.0,5.551115123125781e-16,8,1,8,0.2,True,0.5999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9999999999999998,0.2,1.1102230246251563e-16,0.6799999999999994,1.0,5.551115123125781e-16,9,1,9,0.2,True,0.5999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.9999999999999998,0.2,1.1102230246251563e-16,0.6799999999999994,1.0,5.551115123125781e-16,10,1,10,0.2,True,0.5999999999999996,1.0
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,2,dephase_z,iid_p,0.3,0.3,0.6999999999999996,0.6999999999999996,0.2999999999999999,0.2999999999999999,0.5799999999999995,0.5799999999999995,1.0,0,1,0,0.2,True,0.3999999999999999,0.3999999999999999
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,2,dephase_z,iid_p,0.3,0.3,0.6999999999999996,0.8448275862068965,0.2999999999999999,0.1551724137931032,0.5799999999999995,0.7378121284185495,0.5172413793103443,1,1,1,0.2,True,0.3999999999999999,0.6896551724137933
