run_id,M,N,noise,mode,delta,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,error_reduction_ratio,max_depth
M1_N2_depolarizing_iid_p_d0.01000,1,2,depolarizing,iid_p,0.01,0.0075,0.995,0.9937593984962406,0.0049999999999998,0.0063651747048732,1.273034940974699,1
M1_N2_depolarizing_iid_p_d0.10000,1,2,depolarizing,iid_p,0.1,0.075,0.9499999999999998,0.9384615384615382,0.0499999999999998,0.0628597470365705,1.2571949407314131,1
M1_N2_depolarizing_iid_p_d0.50000,1,2,depolarizing,iid_p,0.5,0.375,0.75,0.7142857142857141,0.2499999999999998,0.2945075446869757,1.1780301787479035,1
M1_N2_depolarizing_iid_p_d0.70000,1,2,depolarizing,iid_p,0.7,0.5249999999999999,0.6499999999999999,0.6181818181818182,0.3499999999999998,0.3962751268057144,1.1322146480163275,1
M1_N2_depolarizing_iid_p_d0.80000,1,2,depolarizing,iid_p,0.8,0.6000000000000001,0.5999999999999998,0.5749999999999998,0.3999999999999999,0.4430011286667337,1.1075028216668343,1
M1_N2_depolarizing_iid_p_d0.90000,1,2,depolarizing,iid_p,0.9,0.675,0.5499999999999998,0.5354838709677419,0.4499999999999999,0.4866693275101995,1.0814873944671102,1
M1_N2_depolarizing_iid_p_d0.95000,1,2,depolarizing,iid_p,0.95,0.7124999999999999,0.525,0.5172131147540984,0.4749999999999998,0.5072843475789248,1.067967047534579,1
M1_N2_depolarizing_iid_p_d0.99000,1,2,depolarizing,iid_p,0.99,0.7424999999999999,0.505,0.5033554817275747,0.4949999999999998,0.5231636273800525,1.0568962169293994,1
M1_N4_depolarizing_iid_p_d0.01000,1,4,depolarizing,iid_p,0.01,0.0075,0.995,0.9922100369684752,0.0049999999999998,0.008284048667273,1.6568097334546592,2
M1_N4_depolarizing_iid_p_d0.10000,1,4,depolarizing,iid_p,0.1,0.075,0.9499999999999998,0.924196827978853,0.0499999999999998,0.0810438199257815,1.6208763985156347,2
M1_N4_depolarizing_iid_p_d0.50000,1,4,depolarizing,iid_p,0.5,0.375,0.75,0.6744186046511628,0.2499999999999998,0.3589616055914681,1.4358464223658736,2
M1_N4_depolarizing_iid_p_d0.70000,1,4,depolarizing,iid_p,0.7,0.5249999999999999,0.6499999999999999,0.5859922178988326,0.3499999999999998,0.4657516755756821,1.3307190730733782,2
M1_N4_depolarizing_iid_p_d0.80000,1,4,depolarizing,iid_p,0.8,0.6000000000000001,0.5999999999999998,0.5513011152416354,0.3999999999999999,0.5105097683699217,1.2762744209248045,2
M1_N4_depolarizing_iid_p_d0.90000,1,4,depolarizing,iid_p,0.9,0.675,0.5499999999999998,0.5227510590580612,0.4499999999999999,0.5495607608590048,1.221246135242233,2
M1_N4_depolarizing_iid_p_d0.95000,1,4,depolarizing,iid_p,0.95,0.7124999999999999,0.525,0.5106775072118096,0.4749999999999998,0.5670009010712014,1.1936861075183192,2
M1_N4_depolarizing_iid_p_d0.99000,1,4,depolarizing,iid_p,0.99,0.7424999999999999,0.505,0.5020267551370147,0.4949999999999998,0.579982071060872,1.1716809516381257,2
M1_N8_depolarizing_iid_p_d0.01000,1,8,depolarizing,iid_p,0.01,0.0075,0.995,0.9902745863117872,0.0049999999999998,0.0108335860143646,2.166717202873003,3
M1_N8_depolarizing_iid_p_d0.10000,1,8,depolarizing,iid_p,0.1,0.075,0.9499999999999998,0.9065673198261446,0.0499999999999998,0.1051596490228016,2.1031929804560376,3
M1_N8_depolarizing_iid_p_d0.50000,1,8,depolarizing,iid_p,0.5,0.375,0.75,0.6327028676021963,0.2499999999999998,0.4358229600911831,1.7432918403647335,3
M1_N8_depolarizing_iid_p_d0.70000,1,8,depolarizing,iid_p,0.7,0.5249999999999999,0.6499999999999999,0.5571759224795368,0.3499999999999998,0.5402128602524432,1.5434653150069817,3
M1_N8_depolarizing_iid_p_d0.80000,1,8,depolarizing,iid_p,0.8,0.6000000000000001,0.5999999999999998,0.5319608574993713,0.3999999999999999,0.5786136549704343,1.4465341374260858,3
M1_N8_depolarizing_iid_p_d0.90000,1,8,depolarizing,iid_p,0.9,0.675,0.5499999999999998,0.5133417798447508,0.4499999999999999,0.6092772224035177,1.3539493831189282,3
M1_N8_depolarizing_iid_p_d0.95000,1,8,depolarizing,iid_p,0.95,0.7124999999999999,0.525,0.5060890358956677,0.4749999999999998,0.6220915252634522,1.3096663689756896,3
M1_N8_depolarizing_iid_p_d0.99000,1,8,depolarizing,iid_p,0.99,0.7424999999999999,0.505,0.5011317048625572,0.4949999999999998,0.631273830122059,1.275300666913251,3
M1_N16_depolarizing_iid_p_d0.01000,1,16,depolarizing,iid_p,0.01,0.0075,0.995,0.987856117745112,0.0049999999999998,0.0141260450305373,2.82520900610756,4
M1_N16_depolarizing_iid_p_d0.10000,1,16,depolarizing,iid_p,0.1,0.075,0.9499999999999998,0.884823031212397,0.0499999999999998,0.136052286213664,2.721045724273288,4
M1_N16_depolarizing_iid_p_d0.50000,1,16,depolarizing,iid_p,0.5,0.375,0.75,0.593030339652152,0.2499999999999998,0.5139865771812699,2.055946308725081,4
M1_N16_depolarizing_iid_p_d0.70000,1,16,depolarizing,iid_p,0.7,0.5249999999999999,0.6499999999999999,0.5347934872110824,0.3499999999999998,0.6032327683010495,1.7235221951458568,4
M1_N16_depolarizing_iid_p_d0.80000,1,16,depolarizing,iid_p,0.8,0.6000000000000001,0.5999999999999998,0.5183763803101258,0.3999999999999999,0.6312857461760932,1.5782143654402332,4
M1_N16_depolarizing_iid_p_d0.90000,1,16,depolarizing,iid_p,0.9,0.675,0.5499999999999998,0.5073244620434015,0.4499999999999999,0.6518046790943814,1.448454842431959,4
M1_N16_depolarizing_iid_p_d0.95000,1,16,depolarizing,iid_p,0.95,0.7124999999999999,0.525,0.5032788109545626,0.4749999999999998,0.6598908705731314,1.3892439380486985,4
M1_N16_depolarizing_iid_p_d0.99000,1,16,depolarizing,iid_p,0.99,0.7424999999999999,0.505,0.5006010677710251,0.4949999999999998,0.6655113380420921,1.3444673495799846,4
M1_N32_depolarizing_iid_p_d0.01000,1,32,depolarizing,iid_p,0.01,0.0075,0.995,0.9848330418867868,0.0049999999999998,0.0183167252870086,3.6633450574018505,5
M1_N32_depolarizing_iid_p_d0.10000,1,32,depolarizing,iid_p,0.1,0.075,0.9499999999999998,0.858137665753232,0.0499999999999998,0.1747657168064186,3.495314336128382,5
M1_N32_depolarizing_iid_p_d0.50000,1,32,depolarizing,iid_p,0.5,0.375,0.75,0.5596895709991568,0.2499999999999998,0.5820184803190069,2.328073921276029,5
