run_id,M,N,noise,mode,delta,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_depolarizing_iid_p_d0.01000,1,2,depolarizing,iid_p,0.01,0.0075,0.995,0.9974749378156328,0.0049999999999998,0.002525062184367,0.99005,0.9949626275093356,0.5050124368734251,1,False,0.99,0.9949498756312656
M1_N2_depolarizing_iid_p_d0.10000,1,2,depolarizing,iid_p,0.1,0.075,0.9499999999999998,0.9724409448818896,0.0499999999999998,0.02755905511811,0.905,0.9464008928017856,0.5511811023622029,1,False,0.9,0.9448818897637796
M1_N2_depolarizing_iid_p_d0.20000,1,2,depolarizing,iid_p,0.2,0.15,0.8999999999999999,0.9395604395604392,0.0999999999999998,0.0604395604395604,0.8200000000000003,0.8864267600531335,0.6043956043956052,1,False,0.8,0.8791208791208789
M1_N2_depolarizing_iid_p_d0.30000,1,2,depolarizing,iid_p,0.3,0.2249999999999999,0.8499999999999999,0.9011461318051576,0.1499999999999998,0.0988538681948422,0.7450000000000001,0.8218364381244819,0.6590257879656154,1,False,0.7000000000000001,0.8022922636103154
M1_N2_depolarizing_iid_p_d0.40000,1,2,depolarizing,iid_p,0.4,0.3,0.7999999999999999,0.857142857142857,0.1999999999999998,0.1428571428571426,0.6800000000000002,0.7551020408163267,0.714285714285714,1,False,0.6000000000000001,0.7142857142857144
M1_N2_depolarizing_iid_p_d0.50000,1,2,depolarizing,iid_p,0.5,0.375,0.75,0.8076923076923075,0.2499999999999998,0.1923076923076921,0.6250000000000002,0.6893491124260356,0.7692307692307693,1,False,0.5000000000000001,0.6153846153846154
M1_N2_depolarizing_iid_p_d0.60000,1,2,depolarizing,iid_p,0.6,0.4499999999999999,0.7,0.7531645569620251,0.2999999999999999,0.2468354430379745,0.5800000000000002,0.6281845858035571,0.8227848101265822,1,False,0.4,0.5063291139240507
M1_N2_depolarizing_iid_p_d0.70000,1,2,depolarizing,iid_p,0.7,0.5249999999999999,0.6499999999999999,0.6941747572815533,0.3499999999999998,0.3058252427184464,0.5449999999999999,0.5754076727307003,0.8737864077669902,1,False,0.3000000000000001,0.3883495145631069
M1_N2_depolarizing_iid_p_d0.80000,1,2,depolarizing,iid_p,0.8,0.6000000000000001,0.5999999999999998,0.6315789473684208,0.3999999999999999,0.368421052631579,0.52,0.5346260387811633,0.9210526315789476,1,False,0.1999999999999998,0.2631578947368418
M1_N2_depolarizing_iid_p_d0.90000,1,2,depolarizing,iid_p,0.9,0.675,0.5499999999999998,0.5664451827242524,0.4499999999999999,0.4335548172757474,0.5049999999999998,0.5088299246145188,0.963455149501661,1,False,0.0999999999999999,0.1328903654485049
M1_N2_depolarizing_iid_p_d0.95000,1,2,depolarizing,iid_p,0.95,0.7124999999999999,0.525,0.5333055786844296,0.4749999999999998,0.4666944213155701,0.50125,0.5022185231430095,0.9825145711906744,1,False,0.0500000000000001,0.0666111573688595
M1_N2_depolarizing_iid_p_d0.99000,1,2,depolarizing,iid_p,0.99,0.7424999999999999,0.505,0.5066664444518516,0.4949999999999998,0.4933335555481482,0.50005,0.5000888829632592,0.996633445551815,1,False,0.0100000000000001,0.0133328889037034
M1_N4_depolarizing_iid_p_d0.01000,1,4,depolarizing,iid_p,0.01,0.0075,0.995,0.9987310849393892,0.0049999999999998,0.0012689150606106,0.99005,0.9974653901696406,0.25378301212213,2,False,0.99,0.9974621698787786
M1_N4_depolarizing_iid_p_d0.10000,1,4,depolarizing,iid_p,0.1,0.075,0.9499999999999998,0.9854508098810262,0.0499999999999998,0.0145491901189735,0.905,0.9713249776282886,0.2909838023794727,2,False,0.9,0.9709016197620526
M1_N4_depolarizing_iid_p_d0.20000,1,4,depolarizing,iid_p,0.2,0.15,0.8999999999999999,0.9660243894632394,0.0999999999999998,0.0339756105367602,0.8200000000000003,0.9343574631491706,0.3397561053676028,2,False,0.8,0.9320487789264792
M1_N4_depolarizing_iid_p_d0.30000,1,4,depolarizing,iid_p,0.3,0.2249999999999999,0.8499999999999999,0.9403755720443528,0.1499999999999998,0.0596244279556469,0.7450000000000001,0.8878612889067822,0.3974961863709799,2,False,0.7000000000000001,0.8807511440887059
M1_N4_depolarizing_iid_p_d0.40000,1,4,depolarizing,iid_p,0.4,0.3,0.7999999999999999,0.9069767441860463,0.1999999999999998,0.0930232558139532,0.6800000000000002,0.8312601406165496,0.4651162790697667,2,False,0.6000000000000001,0.8139534883720932
