run_id,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,fidelity,eps_L,purity,bloch_r,iteration,purification_level,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.01000_twirl,0,1,1,2,2,depolarizing,iid_p,0.01,0.01,0.9933777778,0,FALSE,0.9966220751,0.003377924925,0.9932669709,0.9932441501,1,1,1,0.9933333333,0.003377924925,0.006666666667,0.9932669709,0.9867555556
M1_N2_dephase_z_iid_p_p0.10000_twirl,0,1,1,2,2,depolarizing,iid_p,0.1,0.1,0.9377777778,0,FALSE,0.9620853081,0.03791469194,0.9270456638,0.9241706161,1,1,1,0.9333333333,0.03791469194,0.06666666667,0.9270456638,0.8755555556
M1_N2_dephase_z_iid_p_p0.20000_twirl,0,1,1,2,2,depolarizing,iid_p,0.2,0.2,0.8844444444,0,FALSE,0.9145728643,0.08542713568,0.8437413197,0.8291457286,1,1,1,0.8666666667,0.08542713568,0.1333333333,0.8437413197,0.7688888889
M1_N2_dephase_z_iid_p_p0.30000_twirl,0,1,1,2,2,depolarizing,iid_p,0.3,0.3,0.84,0,FALSE,0.8571428571,0.1428571429,0.7551020408,0.7142857143,1,1,1,0.8,0.1428571429,0.2,0.7551020408,0.68
M1_N2_dephase_z_iid_p_p0.40000_twirl,0,1,1,2,2,depolarizing,iid_p,0.4,0.4,0.8044444444,0,FALSE,0.7900552486,0.2099447514,0.6682640945,0.5801104972,1,1,1,0.7333333333,0.2099447514,0.2666666667,0.6682640945,0.6088888889
M1_N2_dephase_z_iid_p_p0.50000_twirl,0,1,1,2,2,depolarizing,iid_p,0.5,0.5,0.7777777778,0,FALSE,0.7142857143,0.2857142857,0.5918367347,0.4285714286,1,1,1,0.6666666667,0.2857142857,0.3333333333,0.5918367347,0.5555555556
M1_N2_dephase_z_iid_p_p0.60000_twirl,0,1,1,2,2,depolarizing,iid_p,0.6,0.6,0.76,0,FALSE,0.6315789474,0.3684210526,0.5346260388,0.2631578947,1,1,1,0.6,0.3684210526,0.4,0.5346260388,0.52
M1_N2_dephase_z_iid_p_p0.70000_twirl,0,1,1,2,2,depolarizing,iid_p,0.7,0.7,0.7511111111,0,FALSE,0.5443786982,0.4556213018,0.5039389377,0.08875739645,1,1,1,0.5333333333,0.4556213018,0.4666666667,0.5039389377,0.5022222222
M1_N2_dephase_z_iid_p_p0.80000_twirl,0,1,1,2,2,depolarizing,iid_p,0.8,0.8,0.7511111111,0,FALSE,0.4556213018,0.5443786982,0.5039389377,0.08875739645,1,1,1,0.4666666667,0.5443786982,0.5333333333,0.5039389377,0.5022222222
M1_N2_dephase_z_iid_p_p0.90000_twirl,0,1,1,2,2,depolarizing,iid_p,0.9,0.9,0.76,0,FALSE,0.3684210526,0.6315789474,0.5346260388,0.2631578947,1,1,1,0.4,0.6315789474,0.6,0.5346260388,0.52
