run_id,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,fidelity,eps_L,purity,bloch_r,iteration,purification_level,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,0,1,1,dephase_z,iid_p,0.01,0.01,1.0,0,True,0.9899999999999994,0.0100000000000001,0.9801999999999992,0.9799999999999996,1,0,0.9999999999999996,0.9899999999999994,0.0100000000000001,0.0100000000000001,0.9801999999999992,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,1,2,2,dephase_z,iid_p,0.01,0.01,0.9900999999999988,0,True,0.9948995051004946,0.005100494899505,0.9898510402974294,0.9897990102009896,1,1,0.9999999999999996,0.9899999999999994,0.005100494899505,0.0100000000000001,0.9898510402974294,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,2,4,4,dephase_z,iid_p,0.01,0.01,0.9753235074999972,0,True,0.9974236714990689,0.0025763285009307,0.9948606179352276,0.9948473429981384,1,2,0.9999999999999996,0.9899999999999994,0.0025763285009307,0.0100000000000001,0.9948606179352276,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,3,8,8,dephase_z,iid_p,0.01,0.01,0.9488115104125712,0,True,0.9987051897529816,0.0012948102470181,0.9974137325731152,0.9974103795059636,1,3,0.9999999999999996,0.9899999999999994,0.0012948102470181,0.0100000000000001,0.9974137325731152,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,4,16,16,dephase_z,iid_p,0.01,0.01,0.8990791473527532,0,True,0.9993509172589276,0.0006490827410722,0.9987026771346648,0.9987018345178552,1,4,0.9999999999999996,0.9899999999999994,0.0006490827410722,0.0100000000000001,0.9987026771346648,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,5,32,32,dephase_z,iid_p,0.01,0.01,0.8078189720729226,0,True,0.999675037184416,0.0003249628155839,0.9993502855704948,0.9993500743688318,1,5,0.9999999999999996,0.9899999999999994,0.0003249628155839,0.0100000000000001,0.9993502855704948,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,6,64,64,dephase_z,iid_p,0.01,0.01,0.6523594990837516,0,True,0.9998374129742236,0.000162587025776,0.9996748788175294,0.9996748259484476,1,6,0.9999999999999996,0.9899999999999994,0.000162587025776,0.0100000000000001,0.9996748788175294,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,7,128,128,dephase_z,iid_p,0.01,0.01,0.4255037346599571,0,True,0.9999186800504222,8.131994957749633e-05,0.9998373733267132,0.9998373601008448,1,7,0.9999999999999996,0.9899999999999994,8.131994957749633e-05,0.0100000000000001,0.9998373733267132,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,8,256,256,dephase_z,iid_p,0.01,0.01,0.1810387061512127,0,True,0.999959333412008,4.0666587991788905e-05,0.9999186701315588,0.9999186668240162,1,8,0.9999999999999996,0.9899999999999994,4.0666587991788905e-05,0.0100000000000001,0.9999186701315588,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,9,512,512,dephase_z,iid_p,0.01,0.01,0.0327736803311522,0,True,0.9999796650521988,2.0334947800793035e-05,0.9999593309314184,0.9999593301043982,1,9,0.9999999999999996,0.9899999999999994,2.0334947800793035e-05,0.0100000000000001,0.9999593309314184,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.01000_twirl_sub0.30,0,1,10,1024,1024,dephase_z,iid_p,0.01,0.01,0.0010740922808381,0,True,0.9999898321125852,1.0167887414647137e-05,0.9999796644319424,0.9999796642251704,1,10,0.9999999999999996,0.9899999999999994,1.0167887414647137e-05,0.0100000000000001,0.9999796644319424,0.9801999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,0,1,1,dephase_z,iid_p,0.1,0.1,1.0,0,True,0.8999999999999994,0.1,0.8199999999999992,0.7999999999999996,1,0,0.9999999999999996,0.8999999999999994,0.1,0.1,0.8199999999999992,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,1,2,2,dephase_z,iid_p,0.1,0.1,0.9099999999999988,0,True,0.9395604395604392,0.0604395604395603,0.8864267600531335,0.879120879120879,1,1,0.9999999999999996,0.8999999999999994,0.0604395604395603,0.1,0.8864267600531335,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,2,4,4,dephase_z,iid_p,0.1,0.1,0.7810749999999974,0,True,0.9660243894632394,0.0339756105367601,0.9343574631491708,0.9320487789264794,1,2,0.9999999999999996,0.8999999999999994,0.0339756105367601,0.1,0.9343574631491708,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,3,8,8,dephase_z,iid_p,0.1,0.1,0.5900546167187457,0,True,0.9818389551479724,0.0181610448520272,0.96433755739618,0.9636779102959452,1,3,0.9999999999999996,0.8999999999999994,0.0181610448520272,0.1,0.96433755739618,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,4,16,16,dephase_z,iid_p,0.1,0.1,0.3419562533410181,0,True,0.9905867154387378,0.0094132845612619,0.9813506507299384,0.981173430877476,1,4,0.9999999999999996,0.8999999999999994,0.0094132845612619,0.1,0.9813506507299384,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,5,32,32,dephase_z,iid_p,0.1,0.1,0.1158437069567486,0,True,0.9952043347380266,0.0047956652619729,0.9904546662866636,0.990408669476054,1,5,0.9999999999999996,0.8999999999999994,0.0047956652619729,0.1,0.9904546662866636,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,6,64,64,dephase_z,iid_p,0.1,0.1,0.0133557163765069,0,True,0.9975791140843876,0.002420885915612,0.9951699495460083,0.9951582281687756,1,6,0.9999999999999996,0.8999999999999994,0.002420885915612,0.1,0.9951699495460083,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,7,128,128,dephase_z,iid_p,0.1,0.1,0.0001779443794185,0,True,0.9987836892768052,0.0012163107231945,0.9975703373771614,0.9975673785536108,1,7,0.9999999999999996,0.8999999999999994,0.0012163107231945,0.1,0.9975703373771614,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,8,256,256,dephase_z,iid_p,0.1,0.1,3.1625735502425765e-08,0,True,0.999390364328012,0.0006096356719878,0.9987814719673292,0.998780728656024,1,8,0.9999999999999996,0.8999999999999994,0.0006096356719878,0.1,0.9987814719673292,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,9,512,512,dephase_z,iid_p,0.1,0.1,9.995777680316936e-16,0,True,0.9996948103951352,0.0003051896048645,0.9993898070716604,0.9993896207902708,1,9,0.9999999999999996,0.8999999999999994,0.0003051896048645,0.1,0.9993898070716604,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.30,0,1,10,1024,1024,dephase_z,iid_p,0.1,0.1,9.988508754676202e-31,0,True,0.999847312042664,0.0001526879573355,0.9996946707125532,0.9996946240853286,1,10,0.9999999999999996,0.8999999999999994,0.0001526879573355,0.1,0.9996946707125532,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,0,1,1,dephase_z,iid_p,0.2,0.2,1.0,0,True,0.7999999999999995,0.2,0.6799999999999994,0.5999999999999996,1,0,0.9999999999999996,0.7999999999999995,0.2,0.2,0.6799999999999994,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,1,2,2,dephase_z,iid_p,0.2,0.2,0.839999999999999,0,True,0.857142857142857,0.1428571428571427,0.7551020408163265,0.7142857142857143,1,1,0.9999999999999996,0.7999999999999995,0.1428571428571427,0.2,0.7551020408163265,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,2,4,4,dephase_z,iid_p,0.2,0.2,0.6191999999999982,0,True,0.9069767441860463,0.0930232558139533,0.8312601406165496,0.8139534883720931,1,2,0.9999999999999996,0.7999999999999995,0.0930232558139533,0.2,0.8312601406165496,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,3,8,8,dephase_z,iid_p,0.2,0.2,0.3510604799999978,0,True,0.9444772593030122,0.0555227406969874,0.8951200680750346,0.8889545186060248,1,3,0.9999999999999996,0.7999999999999995,0.0555227406969874,0.2,0.8951200680750346,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,4,16,16,dephase_z,iid_p,0.2,0.2,0.1167805777379312,0,True,0.9690755660188743,0.0309244339811253,0.9400637732718552,0.938151132037749,1,4,0.9999999999999996,0.7999999999999995,0.0309244339811253,0.2,0.9400637732718552,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,5,32,32,dephase_z,iid_p,0.2,0.2,0.013229007097182,0,True,0.9835671615348948,0.0164328384651049,0.9676743994298304,0.96713432306979,1,5,0.9999999999999996,0.7999999999999995,0.0164328384651049,0.2,0.9676743994298304,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,6,64,64,dephase_z,iid_p,0.2,0.2,0.0001721780315877,0,True,0.9915113615088118,0.0084886384911878,0.983166836984492,0.983022723017624,1,6,0.9999999999999996,0.7999999999999995,0.0084886384911878,0.2,0.983166836984492,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,7,128,128,dephase_z,iid_p,0.2,0.2,2.9395762691783128e-08,0,True,0.9956833205784948,0.0043166794215048,0.9914039085994462,0.99136664115699,1,7,0.9999999999999996,0.7999999999999995,0.0043166794215048,0.2,0.9914039085994462,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,8,256,256,dephase_z,iid_p,0.2,0.2,8.603968762470552e-16,0,True,0.9978229865252288,0.002177013474771,0.9956554518257964,0.9956459730504578,1,8,0.9999999999999996,0.7999999999999995,0.002177013474771,0.2,0.9956554518257964,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,9,512,512,dephase_z,iid_p,0.2,0.2,7.386746875454554e-31,0,True,0.9989067487273694,0.0010932512726303,0.9978158878514294,0.9978134974547392,1,9,0.9999999999999996,0.7999999999999995,0.0010932512726303,0.2,0.9978158878514294,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.30,0,1,10,1024,1024,dephase_z,iid_p,0.2,0.2,5.4504442422291695e-61,0,True,0.9994521785127292,0.0005478214872705,0.9989049572422226,0.9989043570254588,1,10,0.9999999999999996,0.7999999999999995,0.0005478214872705,0.2,0.9989049572422226,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.30,0,1,0,1,1,dephase_z,iid_p,0.3,0.3,1.0,0,True,0.6999999999999996,0.2999999999999999,0.5799999999999995,0.3999999999999999,1,0,0.9999999999999996,0.6999999999999996,0.2999999999999999,0.2999999999999999,0.5799999999999995,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.30,0,1,1,2,2,dephase_z,iid_p,0.3,0.3,0.7899999999999989,0,True,0.7531645569620252,0.2468354430379745,0.6281845858035571,0.5063291139240507,1,1,0.9999999999999996,0.6999999999999996,0.2468354430379745,0.2999999999999999,0.6281845858035571,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.30,0,1,2,4,4,dephase_z,iid_p,0.3,0.3,0.5080749999999984,0,True,0.8109777099837622,0.1890222900162376,0.69341427221349,0.6219554199675246,1,2,0.9999999999999996,0.6999999999999996,0.1890222900162376,0.2999999999999999,0.69341427221349,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.30,0,1,3,8,8,dephase_z,iid_p,0.3,0.3,0.2185691542187485,0,True,0.8672789524529967,0.132721047547003,0.7697876578299414,0.7345579049059937,1,3,0.9999999999999996,0.6999999999999996,0.132721047547003,0.2999999999999999,0.7697876578299414,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.30,0,1,4,16,16,dephase_z,iid_p,0.3,0.3,0.0422735684751467,0,True,0.9150542589988934,0.0849457410011063,0.8445400758262414,0.8301085179977872,1,4,0.9999999999999996,0.6999999999999996,0.0849457410011063,0.2999999999999999,0.8445400758262414,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.30,0,1,5,32,32,dephase_z,iid_p,0.3,0.3,0.0016481469059688,0,True,0.9500355014655611,0.0499644985344385,0.9050639051587184,0.9000710029311226,1,5,0.9999999999999996,0.6999999999999996,0.0499644985344385,0.2999999999999999,0.9050639051587184,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.30,0,1,6,64,64,dephase_z,iid_p,0.3,0.3,2.587446578641489e-06,0,True,0.9724623675320404,0.0275376324679594,0.9464413774679618,0.9449247350640808,1,6,0.9999999999999996,0.6999999999999996,0.0275376324679594,0.2999999999999999,0.9464413774679618,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.30,0,1,7,128,128,dephase_z,iid_p,0.3,0.3,6.5155955273424326e-12,0,True,0.9854627249515682,0.0145372750484315,0.9713481146348042,0.9709254499031368,1,7,0.9999999999999996,0.6999999999999996,0.0145372750484315,0.2999999999999999,0.9713481146348042,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.30,0,1,8,256,256,dephase_z,iid_p,0.3,0.3,4.184480604502183e-23,0,True,0.9925185169961732,0.0074814830038262,0.9851489791682204,0.9850370339923472,1,8,0.9999999999999996,0.6999999999999996,0.0074814830038262,0.2999999999999999,0.9851489791682204,0.5799999999999995
